"job title",Total_Salary(USD)
"Data Scientist",18860158
"Data Analyst",15982196
"Data Engineer",13053644
"Machine Learning Engineer",7871148
"Research Scientist",7745272
"Research Engineer",4529706
"Applied Scientist",2638880
"AI Developer",1922868
"Computer Vision Engineer",1854436
"Machine Learning Developer",1472000
