"job title",Total_Salary(USD)
"Data Engineer",289836513
"Data Scientist",282234922
"Machine Learning Engineer",170242730
"Data Analyst",140049762
"Analytics Engineer",69409908
"Data Architect",48370428
"Research Scientist",47428084
"ML Engineer",40152976
"Data Science Manager",34552876
"Research Engineer",33246236
